timestamp,latency_ms
1756294197.288821,-101.46
1756294197.2965093,-101.74
1756294197.2997708,-101.96
1756294197.913121,-89.52
1756294197.9469917,-89.52
1756294199.346427,-63.36
1756294199.3764467,-36.64
1756294199.3772633,-35.98
1756294199.8644366,-52.94
1756294199.9459558,-51.9
1756294201.3960836,-24.1
1756294201.4251642,1.02
1756294201.4258707,1.73
1756294201.908417,-14.44
1756294201.9405017,-14.33
1756294203.342481,12.23
1756294203.3717592,37.9
1756294203.3727071,38.65
1756294203.8548424,22.51
1756294203.9393363,23.92
1756294205.3202617,62.18
1756294205.3258398,61.49
1756294205.3261518,61.63
1756294205.904882,100.88
1756294205.934291,101.61
1756294207.8502388,230.17
1756294207.885309,231.51
1756294207.8861425,232.18
1756294207.887011,232.81
1756294208.0548413,244.11
1756294213.614398,404.52
1756294213.6152523,405.14
1756294213.6160288,405.69
1756294213.6167326,406.24
1756294213.6174574,406.16
1756294213.6181479,406.66
1756294213.6188376,407.1
1756294213.6195195,407.63
1756294213.620265,408.18
1756294213.6209514,407.38
1756294213.621638,407.87
1756294213.6223407,408.37
1756294213.6230319,408.87
1756294214.1989105,389.92
1756294214.2284663,416.07
1756294215.3088858,410.81
1756294215.312208,410.17
1756294215.3153133,410.21
1756294215.9414015,423.1
1756294215.9698122,447.43
1756294217.3770516,450.93
1756294217.408362,452.33
1756294217.4091442,452.92
1756294217.9159741,488.24
1756294217.9717078,460.85
1756294219.3216696,486.56
1756294219.3520682,486.95
1756294219.3528585,487.56
1756294219.935926,498.27
1756294219.9685373,499.05
1756294221.369935,524.9
1756294221.4003496,525.39
1756294221.401158,526.01
1756294221.9107404,560.18
1756294221.96959,534.91
1756294223.3163657,557.08
1756294223.3451145,556.51
1756294223.345942,557.13
1756294223.9303555,566.15
1756294223.9623964,566.37
1756294225.3645587,588.84
1756294225.406295,600.61
1756294225.4070761,601.24
1756294225.876336,596.76
1756294225.9643853,598.05
1756294227.4114645,-111.8
1756294227.441035,-85.17
1756294227.4419696,-84.45
1756294227.9250777,-102.7
1756294227.9564002,-103.16
1756294229.357571,-81.01
1756294229.3880675,-53.54
1756294229.3888748,-52.87
1756294230.0011415,-44.42
1756294230.0045135,-70.07
1756294231.3370674,-45.25
1756294231.3405082,-45.14
1756294231.3412857,-44.53
1756294231.9481013,-5.66
1756294231.9553142,-33.76
1756294233.3528132,-6.84
1756294233.3828986,-6.96
1756294233.3836749,-6.34
1756294233.8658772,2.13
1756294233.9602938,3.77
1756294243.1103435,203.44
1756294243.1111414,203.49
1756294243.1119423,204.12
1756294243.1126907,204.68
1756294243.1134439,205.25
1756294243.1142068,205.21
1756294243.11495,205.75
1756294243.1157515,206.35
1756294243.1166494,207.07
1756294243.1174903,207.76
1756294243.1182811,208.38
1756294243.119013,208.94
1756294243.1200256,209.75
1756294243.1207204,210.28
1756294243.1214128,210.82
1756294243.122,211.21
1756294243.1229134,211.96
1756294243.1234355,212.36
1756294243.1238859,212.63
1756294243.1243863,189.83
1756294243.4173226,210.81
1756294243.4215422,182.44
1756294243.4224436,183.17
1756294243.9010851,191.33
1756294243.9844787,193.26
1756294245.3349748,218.58
1756294245.3636394,218.85
1756294245.3643928,219.42
1756294245.9773018,258.25
1756294245.9799967,230.78
1756294247.3839357,259.06
1756294247.411768,259.5
1756294247.412721,260.26
1756294247.9232428,284.98
1756294247.9775152,271.34
1756294249.459214,326.95
1756294249.4622743,300.97
1756294249.4630659,301.58
1756294249.942771,311.08
1756294249.9747438,311.54
1756294251.3069568,338.35
1756294251.3262162,338.55
1756294251.3564386,338.86
1756294251.359166,338.87
1756294251.8898306,350.16
1756294251.9721236,352.07
1756294253.4244757,381.12
1756294253.4548976,382.05
1756294253.4557211,382.71
1756294253.9363868,391.31
1756294253.9686277,391.39
1756294255.369962,419.67
1756294255.4014184,420.72
1756294255.4065394,425.63
1756294255.91002,457.25
1756294255.9720712,432.66
1756294257.4473364,-86.12
1756294257.4516304,-114.61
1756294257.452387,-114.01
1756294257.9655113,-73.97
1756294257.9741828,-101.85
1756294259.3637488,-77.31
1756294259.3989124,-76.64
1756294259.399525,-76.21
1756294259.87569,-67.34
1756294259.9730153,-65.74
1756294261.4397852,-10.57
1756294261.4431002,-36.98
1756294261.4439232,-36.3
1756294261.9247696,-26.43
1756294261.974419,-25.39
1756294263.357249,1.2
1756294263.4033468,1.66
1756294263.4041414,2.27
1756294263.9715014,12.82
1756294263.9998584,37.8
1756294265.4052572,41.04
1756294265.4357965,41.33
1756294265.4365869,41.95
1756294265.9159422,50.5
1756294266.0003831,52.37
1756294267.3495085,78.58
1756294267.3789127,105.02
1756294267.3797717,105.71
1756294267.9640832,90.82
1756294267.997398,92.34
1756294269.427844,146.8
1756294269.4308667,119.34
1756294269.4316723,119.97
1756294269.9106069,129.66
1756294269.9945188,131.04
1756294271.3452399,159.61
1756294271.375263,159.69
1756294271.3788495,158.95
1756294271.9577415,170.69
1756294271.9908345,171.28
1756294273.4203155,211.95
1756294273.4235175,200.79
1756294273.42436,201.47
1756294273.9041085,211.23
1756294273.988136,212.62
1756294275.4392226,242.91
1756294275.4696982,269.65
1756294275.4704823,270.29
1756294275.950996,252.98
1756294275.9830287,253.56
1756294277.4135294,309.05
1756294277.4172513,283.23
1756294277.4180489,283.86
1756294277.8975346,294.08
1756294277.9812567,295.56
1756294279.4324255,324.45
1756294279.461109,349.92
1756294279.4619374,350.58
1756294279.9440217,334.74
1756294279.9848783,335.15
1756294281.3609521,363.55
1756294281.364529,363.61
1756294281.365349,364.24
1756294281.9212344,397.0
1756294282.133762,413.85
1756294283.631434,409.14
1756294283.662244,410.05
1756294283.6630123,410.67
1756294284.2459881,421.89
1756294284.2750182,421.7
1756294285.6794798,451.08
1756294285.7212472,461.26
1756294285.7219603,461.81
1756294286.2934144,462.87
1756294286.3230553,462.92
1756294287.7274785,328.61
1756294287.7578037,328.78
1756294287.758131,328.96
1756294287.93078,-128.33
1756294288.1357696,-124.45
1756294289.5984926,-67.98
1756294289.60191,-96.54
1756294289.6027014,-95.96
1756294290.1828814,-85.85
1756294290.2157834,-55.8
1756294292.0274754,-49.81
1756294292.057978,-49.26
1756294292.058777,-48.66
1756294292.0594158,-48.23
1756294292.0599704,-47.84
1756294293.695802,10.87
1756294293.702037,-16.16
1756294293.7035556,-14.88
1756294294.689573,0.84
1756294294.7215443,1.9
1756294295.7135699,23.74
1756294295.7432015,24.25
1756294295.7439253,24.87
1756294295.91741,27.89
1756294296.1504707,61.43
1756294297.7609618,73.49
1756294297.7967722,75.58
1756294297.7977848,76.42
1756294297.965155,77.95
1756294297.998281,79.7
1756294299.3997893,113.83
1756294299.430227,113.97
1756294299.4310987,114.7
1756294299.9399917,154.84
1756294299.9948332,127.75
1756294301.4473639,163.77
1756294301.4776158,164.72
1756294301.4785917,165.59
1756294301.9914138,208.16
1756294301.99723,178.73
1756294303.393849,210.97
1756294303.423697,211.58
1756294303.4244025,212.12
1756294303.9053028,221.97
1756294303.9937117,225.05
1756294305.4402356,253.5
1756294305.4702563,253.47
1756294305.4705648,253.63
1756294305.9520302,264.29
1756294305.9922764,265.1
1756294307.3649976,293.79
1756294307.369734,294.53
1756294307.37084,295.48
1756294307.8852134,304.45
1756294307.9930358,307.12
1756294309.362647,336.52
1756294309.3661215,335.79
1756294309.3669603,336.47
1756294309.8857982,346.65
1756294309.9943736,349.47
1756294311.3067453,377.11
1756294311.3623066,381.35
1756294311.36948,381.09
1756294311.3743088,385.69
1756294311.8859231,388.0
